Unnamed: 0,Release Group,$Worldwide,$Domestic,Domestic %,$Foreign,Foreign %,Year,Genres,Rating,Vote_Count,Original_Language,Production_Countries,Budget,Production_Companies,Success,runtime,overview_len,n_keywords,n_companies,studio_vol_max,studio_vol_min,has_homepage,summer,holiday,is_sequel,Keywords
20,102 Dalmatians,0.1578164730249762,0.0159230571583715,-0.6576831964320304,0.2271719623779688,0.6576937788260382,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1.2181060007150222,-0.5113570191565652,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.7503291591168079,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,-0.4909627069680584,0.4418810368027583,0.0623946697148607,-0.7175362802828879,0.5097516958588446,-0.7377269285653559,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
21,Big Momma's House,0.1109987581502641,0.6813849600220292,0.668260882656576,-0.2097868279078531,-0.668247433869211,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.8185139999790623,-0.302505655201562,1,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.3662358936165095,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,-0.5982585257096165,-0.4622100039717456,-0.746382952927281,-0.7175362802828879,0.7127237668671289,2.155563792650369,0,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,The Emperor's New Groove,0.0885328944374537,0.3097862447433077,0.0330015007138033,-0.0384617078612486,-0.032989425214574,0,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.3938302834606622,0.6894269955655371,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.054846900771349,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,-1.6712167131251965,0.5925628769318424,-0.2611163793419959,-0.7175362802828879,0.5097516958588446,0.5826458183293869,0,0,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,Nutty Professor II: The Klumps,0.0740408718301193,0.7570079704478193,0.9453874586718796,-0.3067441551045982,-0.9453734107990862,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",-1.861258839994804,-0.5224898210731431,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.7300279763398385,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,-0.1690752507433845,-0.1231758636813066,-0.4228719038704243,-0.7175362802828879,1.062750826178776,1.5470760587346284,0,1,0,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,Scream 3,0.0521868235303444,0.3076885352695065,0.1353251595502231,-0.0916460941717109,-0.1353128628502201,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",-0.6028611741850525,-0.0094903087572292,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.1632240658468154,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0.3674038429644053,-0.4998804640040166,-0.0993608548135675,-0.2691287104052239,-0.1918864107636265,0.2267033118398856,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,Chocolat,0.0078816324939878,0.0757899038710665,-0.2185441605923955,-0.0300090667014906,0.2185556923063898,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.6847130504085943,-0.0831894574449755,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.4677418075013565,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0.6356433898183004,0.1781878165768613,-0.5846274283988526,-0.2691287104052239,-0.0752539729584467,-0.7377269285653559,0,0,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"Me, Myself & Irene",-0.0087501458508432,0.3264655547521826,0.3740803635018694,-0.193107556961517,-0.3740675506667281,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1734889986733832,0.045505732710666,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.060088944699848,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0.3674038429644053,-0.3115281638426616,-0.746382952927281,-0.7175362802828879,0.7127237668671289,0.3620263723389354,0,1,0,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,The Beach,-0.034040763610179,-0.3414103078825953,-1.0371334312837537,0.1373729504118321,1.0371431933915598,0,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0.0288747507879873,0.1554978156464565,1,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.1632240658468154,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0.5283475710767424,-0.5752213840685586,1.0329278168854308,-1.1659438501605517,-2.071999561142531,-0.3817844220758548,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,Remember the Titans,-0.0696921548018173,0.6563368133965349,1.3930534660812162,-0.4661259599085109,-1.3930384504550384,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.491508328085008,-0.2185643287505639,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-0.3662358936165095,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0.2064601148520684,-0.0101644835844936,1.0329278168854308,0.1792788594724399,0.5097516958588446,-0.7377269285653559,1,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
29,Space Cowboys,-0.1076346876911088,0.3250685984945718,0.7791115130626978,-0.3401798640068965,-0.779097824641161,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",-0.0764145700408518,-0.5111343631182336,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.3443055035774197,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0,1.1184745741553113,0.4042105767704874,-0.746382952927281,1.0760939992277676,1.054701673762528,-0.7377269285653559,1,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
